School,SchoolType,OBJECTID
Messiah Christian Academy,Private,6
Harrison Primary Center,Public,12
Lincoln Primary Center,Public,17
Muessel Primary Center,Public,20
Hamilton Traditional School,Public,29
McKinley Primary Center,Public,36
Monroe Primary Center,Public,38
Corpus Christi Parish School,Private,52
Holy Cross School,Private,54
South Bend Junior Academy,Private,63
St. Adalbert's,Private,64
St. Anthony de Padua,Private,65
St. John the Baptist Catholic School,Private,66
St. Joseph Grade School,Private,67
St. Matthew's Cathedral School,Private,70
Stanley Clark School,Private,72
Dickinson Intermediate Center,Public,76
Edison Intermediate Center,Public,78
Jackson Intermediate Center,Public,81
Jefferson Intermediate Center,Public,82
Marshall Intermediate Center,Public,85
Navarre Intermediate Center,Public,86
Trinity,Private,90
The Rabbi Naftali Riff Yeshiva,Private,94
Washington High School,Public,102
Community Baptist Christian School,Private,103
Alphabet Academy,Private,117
Angle Care Learning Center,Private,118
Antioch Missionary Baptist Church,Private,119
Apostolic Temple Church,Private,120
Beary Best Day Care,Private,122
Believers Child Care Ministry,Private,123
Chr. Tabernacle Daycare,Private,127
Christ Temple Daycare ,Private,128
Circle of Mercy Day Nursery,Private,129
El Campito,Private,135
Emanuel Day Care MInistry,Private,136
God's Little Creation,Private,145
Kidz Kompany,Private,156
Kingdom Christian Center Daycare Ministry,Private,159
Macedonia Missionary Baptist Church Day Care,Private,165
Southeast Christian Learning Center,Private,176
Sweet Home Daycare Ministry,Private,182
The ABC Place,Private,183
Three Bears Day Care,Private,184
Vision Day Care,Private,185
YMCA Learning Land,Private,187
American National University,Private,188
Brown Mackie College,Private,189
Perley Primary Fine Arts Academy,Public,490
Riley High School,Public,492
Ironwood Christian School,Private,522
Success Academy,Private,548
La Petite Academy,Private,157
Coquillard Primary Center,Public,201
St. Mary of the Assumption School,Private,503
Veritas Academy,Private,49
